Date,Open,High,Low,Close
2018-02-03,1330.5,1330.5,1330.5,1330.5
2018-02-02,1347.66,1350.105,1327.55,1332.035
2018-02-01,1343.855,1351.005,1337.55,1348.605
2018-01-31,1337.505,1347.355,1333.505,1345
2018-01-30,1341.55,1348.55,1334.66,1338.71
2018-01-29,1350.725,1352.255,1335.625,1336.625
2018-01-28,1351.875,1351.875,1351.875,1351.875
2018-01-26,1347.41,1357.005,1344.755,1351.875
2018-01-25,1357.355,1366.05,1343.105,1347.5
2018-01-24,1341.16,1361.55,1339.605,1358.5
2018-01-23,1333.605,1341.8,1331.55,1341
2018-01-22,1333.505,1335.71,1328.8,1333.98
2018-01-21,1331.6,1331.6,1331.6,1331.6
2018-01-19,1328.005,1337.855,1327.05,1331.6
2018-01-18,1328.605,1333.21,1324.505,1324.7
2018-01-17,1339.66,1343.91,1326.41,1337.875
2018-01-16,1339.66,1342.355,1331.96,1338.7
2018-01-15,1336.355,1344.605,1336.355,1340.8
2018-01-12,1322.46,1339.41,1321.96,1335.5
2018-01-11,1319.3,1325.775,1315.91,1325.775
2018-01-10,1311.91,1325.505,1308.96,1310.32
2018-01-09,1319.755,1320.21,1309.355,1311.5
2018-01-08,1321.05,1322.21,1315.105,1320.98
2018-01-05,1322.05,1323.505,1313.91,1319.59
2018-01-04,1313.105,1327.875,1306.05,1327.875
2018-01-03,1318.375,1321.3,1307.71,1318.875
2018-01-02,1302.91,1318.91,1302.855,1316.5
2017-12-29,1294.31,1307.605,1294.005,1302.8
2017-12-28,1287.46,1295.16,1287.16,1292.6
2017-12-27,1282.21,1288.96,1281.46,1287.05
2017-12-26,1274.005,1283.8,1273.605,1275.72
2017-12-22,1266.41,1278.98,1265.105,1275.25
2017-12-21,1265.48,1268.96,1263.505,1266.68
2017-12-20,1265.08,1265.08,1265.08,1265.08
2017-12-19,1262.105,1265.21,1259.3,1259.3
2017-12-18,1256.5,1263.96,1252.5,1261.73
2017-12-15,1253.355,1261.91,1253.21,1254.3
2017-12-13,1243.55,1259.185,1240.505,1259.185
2017-12-12,1242.255,1246.3,1236.71,1245.85
2017-12-11,1248.66,1251.605,1240.96,1242.18
2017-12-08,1247.46,1252.21,1244.355,1248.35
2017-12-07,1263.96,1264.55,1241.015,1241.015
2017-12-06,1266.16,1269.21,1262.8,1264.5
2017-12-05,1257.5,1257.5,1257.5,1257.5
2017-12-04,1274.43,1277.16,1272.3,1276.18
2017-12-03,1280.505,1280.505,1280.505,1280.505
2017-12-01,1275.255,1289.16,1272.105,1280.505
2017-11-30,1284.66,1285.41,1270.505,1274.83
2017-11-29,1293.755,1296.66,1278.93,1278.93
2017-11-28,1294.355,1298.98,1291.005,1298.98
2017-11-27,1288.3,1299.105,1286.91,1294.35
2017-11-25,1287.875,1287.875,1287.875,1287.875
2017-11-24,1290.8,1293.3,1286.16,1287.875
2017-11-23,1291.8,1293.05,1287.66,1288.9
2017-11-22,1281.05,1294.71,1279.255,1292.1
2017-11-21,1277.96,1284.46,1276.41,1280.505
2017-11-20,1293.55,1294.855,1274.225,1274.225
2017-11-18,1294.2,1294.2,1294.2,1294.2
2017-11-17,1279.41,1296.855,1279.005,1294.2
2017-11-16,1278.55,1281.41,1275.46,1275.83
2017-11-15,1280.855,1289.46,1277.05,1278.4
2017-11-14,1278.005,1286.09,1270.96,1286.09
2017-11-13,1275.005,1279.8,1274.46,1278.25
2017-11-12,1275.71,1275.71,1275.71,1275.71
2017-11-10,1285.605,1287.105,1273.71,1275.71
2017-11-09,1281.8,1288.3,1280.105,1285
2017-11-08,1276.96,1287.21,1276.05,1281.45
2017-11-07,1280.46,1280.855,1272.21,1275.3
2017-11-06,1269.855,1283.7,1266.605,1283.5
2017-11-05,1269.85,1269.85,1269.85,1269.85
2017-11-03,1277.3,1279.84,1266.46,1269.85
2017-11-02,1275.55,1283.96,1274.005,1277.505
2017-11-01,1270.55,1280.855,1268.105,1276.005
2017-10-31,1276.21,1278.105,1268.16,1270.66
2017-10-30,1273.505,1278.8,1269.105,1276.355
2017-10-29,1275.105,1275.105,1272.16,1273.16
2017-10-27,1267.55,1275.1,1264.255,1275.1
2017-10-26,1278.16,1282.41,1264.015,1264.015
2017-10-25,1277.21,1279.755,1271.41,1277.155
2017-10-24,1281.755,1283.55,1271.015,1271.015
2017-10-23,1277.55,1285.985,1272.855,1285.985
2017-10-22,1280.73,1280.73,1280.73,1280.73
2017-10-20,1289.755,1291.05,1278.3,1280.73
2017-10-19,1281.255,1295.04,1276.855,1295.04
2017-10-18,1285.66,1288.71,1277.16,1281.16
2017-10-17,1296.105,1296.355,1282.3,1283
2017-10-16,1302.55,1306.105,1291.005,1295.1
2017-10-15,1304.875,1304.875,1304.375,1304.375
2017-10-13,1293.96,1304.875,1291.46,1304.875
2017-10-12,1291.5,1291.5,1291.5,1291.5
2017-10-11,1293.88,1293.88,1293.88,1293.88
2017-10-10,1283.91,1294.255,1282.3,1287.85
2017-10-09,1276.3,1286.6,1275.41,1286.6
2017-10-08,1276.53,1276.53,1276.53,1276.53
2017-10-06,1268.71,1276.55,1260.855,1276.53
2017-10-05,1275.3,1279.005,1264.015,1264.015
2017-10-04,1272.05,1282.005,1271.505,1274.7
2017-10-03,1271.71,1274.755,1265.015,1265.015
2017-10-02,1278.505,1278.505,1269.96,1270.015
2017-10-01,1278.5,1278.5,1278.5,1278.5
2017-09-29,1287.05,1290.21,1275.015,1275.015
2017-09-28,1283.46,1289.875,1277.91,1289.875
2017-09-27,1293.605,1296.105,1280.015,1280.015
2017-09-26,1309.71,1313.41,1293.05,1293.9
2017-09-25,1296.255,1311.505,1291.105,1310.55
2017-09-24,1297.38,1297.38,1297.38,1297.38
2017-09-22,1291.755,1298.8,1291.355,1297.38
2017-09-21,1291.01,1291.01,1291.01,1291.01
2017-09-20,1310.91,1315.96,1297.005,1302
2017-09-19,1307.85,1311.755,1305.66,1311.075
2017-09-18,1318.66,1319.71,1304.855,1307.65
2017-09-17,1319.63,1319.63,1319.63,1319.63
2017-09-15,1331.18,1334.255,1319.625,1319.63
2017-09-14,1323.3,1330.41,1317.21,1329.83
2017-09-13,1331.95,1334.71,1320.91,1323.25
2017-09-12,1327.85,1332.16,1323.005,1331.94
2017-09-11,1335.46,1339.005,1326.35,1327.5
2017-09-10,1346.7,1346.7,1346.7,1346.7
2017-09-08,1348.855,1357.355,1343.3,1346.7
2017-09-07,1349.55,1349.55,1349.55,1349.55
2017-09-06,1340.41,1342.41,1330.025,1330.025
2017-09-05,1333.21,1345.975,1328.41,1345.975
2017-09-04,1333.43,1333.43,1333.43,1333.43
2017-09-03,1324.85,1324.85,1324.85,1324.85
2017-09-01,1321.75,1327.21,1316.71,1324.85
2017-08-31,1308.4,1324.685,1301.21,1324.685
2017-08-30,1310.46,1313.46,1305.255,1308.93
2017-08-29,1309.15,1309.15,1309.15,1309.15
2017-08-28,1292.66,1312.3,1292.05,1312.3
2017-08-25,1286.21,1294.005,1280.21,1291.25
2017-08-24,1290.505,1291.255,1285.05,1287.5
2017-08-23,1284.755,1291.105,1282.91,1290.75
2017-08-22,1290.96,1292.21,1282.605,1284.73
2017-08-21,1283.005,1293.3,1281.105,1291.225
2017-08-18,1287.5,1300.755,1284.5,1284.5
2017-08-17,1283.8,1290.985,1282.605,1290.985
2017-08-16,1271.55,1283.855,1268.3,1279.315
2017-08-15,1281.2,1281.895,1267.855,1272.25
2017-08-14,1281.5,1279.9,1276.5,1276.5
2017-08-11,1286.255,1291.71,1281.55,1289.2
2017-08-10,1277.505,1287.95,1274.8,1285.2
2017-08-09,1261.21,1278.355,1260.96,1277.55
2017-08-08,1257.355,1265.21,1251.66,1261.5
2017-08-07,1257.66,1260.005,1255.91,1257.7
2017-08-06,1258.6,1258.6,1258.6,1258.6
2017-08-04,1268.605,1270.21,1254.755,1258.6
2017-08-03,1266.46,1270.91,1259.605,1268.65
2017-08-02,1269.105,1272.8,1263.105,1266.7
2017-08-01,1269.85,1273.96,1264.8,1269.05
2017-07-31,1270.505,1270.855,1266.105,1269.55
2017-07-28,1259.355,1270.755,1257.505,1269.25
2017-07-27,1260.3,1264.96,1255.105,1259
2017-07-26,1249.91,1263.105,1244.105,1261.1
2017-07-25,1254.755,1257.755,1249.05,1249.05
2017-07-24,1255.255,1258.8,1252.05,1255.25
2017-07-21,1244.505,1255.8,1243.505,1254.9
2017-07-20,1241.21,1247.75,1235.505,1247.75
2017-07-19,1242.3,1243.91,1236.3,1240.87
2017-07-18,1234.255,1249.75,1232.91,1249.75
2017-07-17,1229.755,1237.75,1228.55,1237.75
2017-07-16,1234.75,1234.75,1234.75,1234.75
2017-07-14,1217.91,1232.605,1215.3,1228.98
2017-07-13,1218.125,1224.41,1216.91,1217.45
2017-07-12,1216.8,1225.41,1214.755,1218.75
2017-07-11,1214.66,1217.95,1208.41,1217.95
2017-07-10,1213.105,1214.8,1205.105,1214.35
2017-07-09,1207.25,1207.25,1207.25,1207.25
2017-07-07,1225.105,1226.855,1207.125,1207.25
2017-07-06,1226.855,1229.16,1222.8,1225.15
2017-07-05,1224.3,1228.91,1217.71,1226.95
2017-07-04,1221.755,1226.255,1220.15,1220.4
2017-07-03,1241.91,1242.3,1218.02,1218.15
2017-07-02,1241.6,1241.6,1241.6,1241.6
2017-07-01,1241.6,1241.6,1241.6,1241.6
2017-06-30,1245.96,1248.255,1240.05,1241.6
2017-06-29,1249.605,1253.255,1239.91,1245.74
2017-06-28,1247.3,1254.505,1247.3,1249.32
2017-06-27,1244.66,1253.05,1241.505,1244.75
2017-06-26,1257.95,1258.25,1237.21,1244.45
2017-06-23,1251.21,1258.855,1250.05,1256.9
2017-06-22,1246.71,1254.71,1246.3,1250.615
2017-06-21,1244.005,1247.8,1241.505,1246.55
2017-06-20,1244.16,1248.005,1240.125,1240.25
2017-06-19,1253.55,1255.505,1243.125,1243.25
2017-06-16,1254.605,1257.21,1252.105,1253.63
