Date,Open,High,Low,Close,Adj Close
2012-06-27,79.452003,79.849998,79.357002,79.459999,79.459999
2012-06-28,79.68,79.68,79.220001,79.684998,79.684998
2012-06-29,79.305,79.950996,79.169998,79.313004,79.313004
2012-07-02,79.848999,79.851997,79.305,79.838997,79.838997
2012-07-03,79.443001,79.917999,79.429001,79.440002,79.440002
2012-07-04,79.849998,79.870003,79.596001,79.839996,79.839996
2012-07-05,79.933998,80.093002,79.564003,79.940002,79.940002
2012-07-06,79.857002,80.010002,79.501999,79.860001,79.860001
2012-07-09,79.491997,79.736,79.468002,79.477997,79.477997
2012-07-10,79.567001,79.567001,79.208,79.557999,79.557999
2012-07-11,79.339996,79.741997,79.129997,79.349998,79.349998
2012-07-12,79.593002,79.839996,79.18,79.610001,79.610001
2012-07-13,79.306999,79.389999,79.115997,79.309998,79.309998
2012-07-16,79.18,79.199997,78.700996,79.169998,79.169998
2012-07-17,78.830002,79.161003,78.806999,78.82,78.82
2012-07-18,79.084999,79.111,78.779999,79.096001,79.096001
2012-07-19,78.793999,78.793999,78.468002,78.799004,78.799004
2012-07-20,78.727997,78.800003,78.466003,78.739998,78.739998
2012-07-23,78.470001,78.470001,77.970001,78.449997,78.449997
2012-07-24,78.268997,78.334,78.099998,78.310997,78.310997
2012-07-25,78.122002,78.275002,78.059998,78.107002,78.107002
2012-07-26,78.112999,78.269997,78.036003,78.102997,78.102997
2012-07-27,78.307999,78.629997,78.059998,78.323997,78.323997
2012-07-30,78.489998,78.519997,78.112,78.5,78.5
2012-07-31,78.121002,78.300003,78.029999,78.100998,78.100998
2012-08-01,78.116997,78.25,77.919998,78.120003,78.120003
2012-08-02,78.369003,78.527,78.139999,78.379997,78.379997
2012-08-03,78.220001,78.760002,78.059998,78.220001,78.220001
2012-08-06,78.599998,78.599998,78.150002,78.610001,78.610001
2012-08-07,78.199997,78.721001,78.147003,78.199997,78.199997
2012-08-08,78.610001,78.626999,78.230003,78.610001,78.610001
2012-08-09,78.406998,78.779999,78.282997,78.400002,78.400002
2012-08-10,78.580002,78.633003,78.156998,78.610001,78.610001
2012-08-13,78.25,78.359001,78.153,78.25,78.25
2012-08-14,78.32,78.912003,78.316002,78.330002,78.330002
2012-08-15,78.830002,79.046997,78.615997,78.815002,78.815002
2012-08-16,78.994003,79.382004,78.989998,78.989998,78.989998
2012-08-17,79.260002,79.559998,79.223999,79.25,79.25
2012-08-20,79.519997,79.647003,79.318001,79.510002,79.510002
2012-08-21,79.339996,79.519997,79.239998,79.330002,79.330002
2012-08-22,79.252998,79.352997,79.147003,79.241997,79.241997
2012-08-23,78.519997,78.681,78.358002,78.539001,78.539001
2012-08-24,78.589996,78.699997,78.440002,78.599998,78.599998
2012-08-27,78.694,78.838997,78.639999,78.730003,78.730003
2012-08-28,78.75,78.762001,78.447998,78.75,78.75
2012-08-29,78.556999,78.779999,78.469002,78.57,78.57
2012-08-30,78.730003,78.730003,78.486,78.720001,78.720001
2012-08-31,78.528999,78.599998,78.222,78.529999,78.529999
2012-09-03,78.300003,78.391998,78.197998,78.290001,78.290001
2012-09-04,78.328003,78.459999,78.288002,78.338997,78.338997
2012-09-05,78.468002,78.525002,78.291,78.470001,78.470001
2012-09-06,78.410004,79.011002,78.360001,78.419998,78.419998
2012-09-07,78.889999,79.003998,78.024002,78.889999,78.889999
2012-09-10,78.242996,78.32,78.181,78.219002,78.219002
2012-09-11,78.230003,78.239998,77.727997,78.225998,78.225998
2012-09-12,77.763,77.959,77.744003,77.75,77.75
2012-09-13,77.807999,77.830002,77.370003,77.830002,77.830002
2012-09-14,77.639999,78.330002,77.512001,77.648003,77.648003
2012-09-17,78.328003,78.912003,78.156998,78.333,78.333
2012-09-18,78.664001,78.759003,78.519997,78.672997,78.672997
